Gene  Rule 
g182    ( g1 or g12 or g15 or g19 or g23 or g28 or g63 or g69 or g107 or g108 or g126 or g130 or g152 or g167 or g180 or g186 or g202 or g234 or g244 or g256 or g267 or g276 or g291 or g292 or g328 or g345 or g351 or g367 or g369 or g371 or g380 or g391 or g398 or g403 or g409 or g444 or g452 or g458 or g489 or g494 or g518 or g527 or g553 or g563 or g565 or g566 or g581 or g588 or g596 or g598 or g629 or g632 or g635 or g638 or g639 or g642 or g653 or g655 or g663 or g669 or g688 or g692 or g699 or g710 or g717 or g718 or g733 or g741 or g748 or g810 or g821 or g827 or g836 or g837 or g865 or g903 or g909 or g913 or g927 or g938 or g979 or g981 or g988 or g1003 or g1016 or g1018 or g1029 or g1030 or g1039 or g1046 or g1055 or g1068 or g1096 or g1100 or g1104 or g1112 or g1119 or g1125 or g1127 or g1129 or g1139 or g1147 or g1158 or g1161 or g1167 or g1170 or g1177 or g1187 or g1201 or g1205 or g1215 or g1233 or g1235 or g1248 or g1281 or g1285 or g1300 or g1308 or g1310 or g1318 or g1321 or g1328 or g1330 or g1331 or g1337 or g1342 or g1350 or g1352 or g1359 or g1363 or g1385 or g1388 or g1391 or g1396 or g1399 or g1404 or g1412 or g1421 or g1444 or g1446 or g1448 or g1460 or g1469 or g1474 or g1478 or g1479 or g1482 or g1493 or g1496 or g1497 or g1499 or g1500 )
g183    ( g185 or g223 or g434 or g505 or g516 or g524 or g532 or g535 or g613 or g681 or g786 or g804 or g910 or g978 or g1042 or g1338 or g1360 or g1399 )
g184    ( g276 or g403 or g583 or g599 or g855 or g1138 )
g185    ( g68 or g374 or g560 or g674 )
g186    ( g20 or g845 or g1157 or g1173 or g1467 )
g187    ( g643 or g829 or g1024 or g1041 or g1194 or g1349 or g1404 or g1439 )
g188    ( g21 or g100 or g144 or g163 or g200 or g329 or g468 or g574 or g601 or g636 or g683 or g728 or g864 or g867 or g1001 or g1040 or g1129 or g1371 or g1438 or g1444 )
g189    ( g139 or g218 or g285 or g679 or g696 or g758 or g992 or g994 )
g190    ( g486 or g588 or g668 or g878 or g1348 or g1387 or g1415 or g1442 )
g191    ( g5 or g26 or g28 or g73 or g104 or g115 or g132 or g137 or g140 or g159 or g215 or g301 or g311 or g340 or g349 or g361 or g367 or g459 or g460 or g484 or g506 or g523 or g524 or g554 or g593 or g611 or g660 or g663 or g677 or g680 or g731 or g740 or g788 or g795 or g801 or g814 or g817 or g826 or g827 or g953 or g996 or g1007 or g1044 or g1046 or g1068 or g1073 or g1096 or g1119 or g1128 or g1129 or g1159 or g1164 or g1193 or g1221 or g1249 or g1259 or g1265 or g1289 or g1305 or g1401 or g1403 or g1428 or g1431 or g1436 or g1441 or g1462 or g1468 or g1477 or g1493 )
g192    ( g423 or g606 or g981 or g1043 or g1222 )
g193    ( g913 )
g194    ( g78 or g123 or g277 or g385 or g552 or g679 or g923 or g1319 or g1339 )
g195    ( g6 or g155 or g223 or g232 or g500 or g572 or g988 or g1059 or g1109 or g1276 or g1298 or g1399 )
g196    ( g120 or g552 or g631 or g935 or g1171 or g1486 or g1491 )
g197    ( g43 or g108 or g110 or g191 or g210 or g227 or g310 or g312 or g451 or g479 or g518 or g742 or g994 or g1380 or g1393 or g1407 or g1477 or g1499 )
g198    ( g108 or g456 or g538 or g560 or g568 or g628 or g641 or g730 or g835 or g943 or g970 or g1019 or g1022 or g1170 or g1306 or g1324 )
g199    ( g247 or g1460 )
g200    ( g131 or g244 or g848 or g1012 or g1324 or g1346 or g1362 or g1455 or g1489 )
g201    ( g27 or g53 or g75 or g316 or g361 or g445 or g572 or g656 or g975 or g1051 or g1261 )
g202    ( g246 or g285 or g296 or g829 or g880 or g990 or g1165 or g1195 or g1235 or g1249 or g1266 or g1282 or g1288 or g1325 or g1432 or g1468 )
g203    ( g106 or g317 or g974 )
g204    ( g160 or g258 or g271 or g342 or g781 or g1051 or g1290 )
g205    ( g173 or g264 or g304 or g760 or g1084 or g1221 or g1225 or g1373 or g1393 or g1406 or g1435 or g1457 )
g206    ( g301 or g549 or g650 or g831 or g1185 )
g207    ( g6 or g26 or g27 or g34 or g49 or g52 or g60 or g64 or g74 or g82 or g118 or g127 or g173 or g177 or g255 or g256 or g260 or g289 or g293 or g303 or g305 or g306 or g322 or g358 or g364 or g365 or g367 or g435 or g440 or g488 or g490 or g536 or g541 or g550 or g558 or g576 or g586 or g587 or g592 or g607 or g612 or g625 or g630 or g635 or g640 or g654 or g680 or g729 or g748 or g808 or g822 or g828 or g837 or g855 or g865 or g882 or g887 or g898 or g935 or g941 or g942 or g954 or g963 or g970 or g988 or g991 or g995 or g997 or g1004 or g1024 or g1032 or g1048 or g1049 or g1053 or g1129 or g1151 or g1159 or g1164 or g1166 or g1167 or g1173 or g1177 or g1179 or g1184 or g1185 or g1190 or g1192 or g1205 or g1218 or g1223 or g1230 or g1237 or g1240 or g1243 or g1257 or g1261 or g1271 or g1278 or g1284 or g1294 or g1296 or g1300 or g1301 or g1312 or g1322 or g1336 or g1338 or g1344 or g1346 or g1348 or g1352 or g1353 or g1364 or g1369 or g1389 or g1395 or g1396 or g1412 or g1421 or g1423 or g1428 or g1451 or g1459 or g1474 or g1476 or g1493 )
g208    ( g321 or g726 or g923 or g1302 )
g209    ( g228 or g627 or g703 or g727 or g744 or g783 or g1142 or g1274 or g1318 )
g210    ( g918 or g1284 or g1390 or g1436 )
g211    ( g16 or g17 or g23 or g42 or g153 or g194 or g229 or g356 or g433 or g501 or g567 or g611 or g612 or g651 or g697 or g725 or g744 or g819 or g859 or g913 or g926 or g967 or g993 or g1034 or g1149 or g1176 or g1254 or g1264 or g1294 or g1358 or g1362 or g1451 or g1492 )
g212    ( g28 or g375 or g378 or g540 or g580 or g644 or g696 or g825 or g899 or g917 or g1199 or g1247 or g1415 or g1445 or g1469 or g1472 )
g213    ( g660 or g1228 or g1288 )
g214    ( g12 or g205 or g319 or g349 or g391 or g524 or g572 or g771 or g814 or g819 or g825 or g935 or g937 or g945 or g1109 or g1159 or g1161 or g1172 or g1181 or g1251 or g1262 or g1283 or g1429 or g1434 or g1460 )
g215    ( g362 or g474 or g535 or g624 or g764 or g1037 or g1102 or g1118 or g1162 or g1243 )
g216    ( g72 or g92 or g407 or g1184 )
g217    ( g1117 )
g218    ( g214 or g232 or g350 or g529 or g539 or g755 or g900 or g1004 or g1112 or g1239 or g1241 or g1453 )
g219    ( g299 or g370 or g779 or g792 or g935 or g1243 )
g220    ( g82 or g95 or g136 or g208 or g497 or g574 or g835 or g877 or g960 or g964 or g1027 or g1028 or g1042 or g1094 or g1273 or g1339 or g1442 )
g221    ( g127 or g235 or g242 or g246 or g428 or g680 or g817 or g870 or g937 or g944 or g1008 or g1036 or g1151 or g1173 or g1258 or g1275 or g1304 or g1330 or g1443 or g1488 )
g222    ( g35 )
g223    ( g96 or g605 or g937 or g1294 or g1423 )
g224    ( g286 or g294 or g380 or g645 or g721 or g769 or g868 or g1185 )
g225    ( g422 or g478 or g574 or g972 or g1216 or g1310 or g1357 or g1408 )
g226    ( g421 or g906 or g1031 or g1165 )
g227    ( g38 or g58 or g145 or g377 or g922 or g1073 or g1077 or g1266 or g1328 )
g228    
g229    ( g233 or g835 or g1319 or g1448 )
g230    ( g346 or g681 or g778 or g780 or g1086 or g1241 or g1483 )
g231    ( g6 or g94 or g122 or g409 or g410 or g445 or g540 or g598 or g655 or g758 or g806 or g832 or g846 or g855 or g878 or g936 or g1012 or g1023 or g1180 or g1217 or g1310 or g1328 or g1364 )
g232    ( g21 or g214 or g495 or g918 or g1131 or g1174 or g1363 )
g233    ( g238 or g460 or g481 or g754 or g1020 or g1271 or g1356 or g1441 )
g234    ( g952 or g1234 or g1297 or g1327 or g1356 or g1491 )
g235    ( g367 or g398 or g480 or g1036 or g1240 or g1263 or g1363 )
g236    ( g174 or g272 or g467 or g544 or g656 or g696 or g782 or g1260 or g1320 or g1332 or g1365 or g1412 or g1423 or g1461 )
g237    ( g769 or g1055 or g1242 or g1426 )
g238    ( g158 or g470 or g801 or g1016 or g1130 or g1201 or g1344 )
g239    ( g79 or g289 or g732 or g919 or g927 or g929 or g1281 )
g240    ( g100 or g189 or g268 or g666 or g731 or g822 or g1334 or g1464 )
g241    ( g17 or g443 or g775 or g1214 or g1271 or g1341 )
g242    ( g555 or g1066 or g1369 or g1497 )
g243    ( g222 or g233 or g481 or g1090 )
g244    ( g104 or g477 or g516 )
g245    ( g16 or g55 or g72 or g79 or g85 or g108 or g115 or g127 or g146 or g153 or g157 or g180 or g196 or g199 or g222 or g262 or g265 or g274 or g285 or g316 or g326 or g328 or g376 or g399 or g435 or g470 or g502 or g507 or g510 or g528 or g571 or g574 or g591 or g598 or g614 or g626 or g667 or g678 or g716 or g724 or g743 or g763 or g768 or g791 or g875 or g945 or g979 or g1010 or g1042 or g1048 or g1056 or g1069 or g1072 or g1079 or g1083 or g1086 or g1119 or g1125 or g1165 or g1174 or g1187 or g1211 or g1233 or g1294 or g1296 or g1310 or g1353 or g1355 or g1356 or g1368 or g1371 or g1373 or g1385 or g1409 or g1417 or g1422 or g1430 or g1432 or g1461 or g1468 or g1481 or g1489 or g1490 or g1496 )
g246    ( g114 or g167 or g559 or g661 or g724 or g820 or g923 or g937 or g1001 or g1075 or g1080 or g1183 or g1349 or g1500 )
g247    ( g456 or g887 or g1174 )
g248    ( g1083 or g1228 or g1323 or g1346 or g1351 )
g249    ( g301 or g348 or g458 or g484 or g642 or g760 )
g250    ( g17 )
g251    ( g190 or g258 or g821 or g1017 or g1124 or g1126 or g1200 or g1223 or g1226 or g1389 or g1490 )
g252    ( g788 or g824 or g1327 )
g253    ( g254 or g808 or g891 or g996 )
g254    ( g16 or g66 or g76 or g315 or g344 or g399 or g476 or g578 or g770 or g1072 or g1083 or g1291 or g1406 or g1443 )
g255    ( g165 or g408 or g771 or g912 or g1028 or g1072 )
g256    ( g140 or g548 or g676 or g746 or g973 or g1119 or g1181 or g1213 or g1251 or g1321 )
g257    ( g91 or g206 or g557 or g1256 or g1399 or g1475 )
g258    ( g253 or g355 or g448 or g494 or g557 or g635 or g638 or g651 or g695 or g726 or g731 or g747 or g1029 or g1074 or g1300 or g1329 or g1415 )
g259    ( g49 or g172 or g251 or g528 or g561 or g567 or g881 or g1019 or g1061 or g1180 or g1193 or g1225 or g1291 or g1456 )
g260    ( g51 or g395 or g430 or g607 or g641 or g815 or g1266 or g1299 or g1335 or g1446 )
g261    ( g57 or g90 or g94 or g97 or g98 or g102 or g129 or g134 or g146 or g164 or g172 or g173 or g176 or g201 or g207 or g215 or g226 or g228 or g232 or g255 or g270 or g299 or g314 or g317 or g320 or g321 or g359 or g368 or g370 or g379 or g387 or g398 or g423 or g427 or g434 or g441 or g450 or g478 or g483 or g488 or g500 or g518 or g537 or g589 or g602 or g615 or g620 or g632 or g646 or g651 or g661 or g670 or g680 or g681 or g687 or g688 or g700 or g712 or g722 or g727 or g733 or g734 or g737 or g748 or g750 or g751 or g756 or g758 or g763 or g772 or g776 or g779 or g792 or g794 or g795 or g804 or g837 or g872 or g873 or g877 or g878 or g892 or g922 or g923 or g924 or g974 or g982 or g994 or g1003 or g1006 or g1015 or g1033 or g1059 or g1068 or g1074 or g1078 or g1080 or g1084 or g1087 or g1107 or g1116 or g1132 or g1141 or g1143 or g1148 or g1153 or g1156 or g1163 or g1202 or g1206 or g1213 or g1216 or g1231 or g1234 or g1238 or g1245 or g1271 or g1277 or g1284 or g1286 or g1298 or g1299 or g1308 or g1314 or g1357 or g1359 or g1360 or g1366 or g1375 or g1376 or g1384 or g1392 or g1394 or g1406 or g1420 or g1425 or g1426 or g1428 or g1456 or g1460 or g1468 or g1470 or g1478 or g1479 or g1480 or g1482 )
g262    ( g115 or g130 or g178 or g189 or g209 or g240 or g315 or g402 or g404 or g413 or g609 or g676 or g685 or g947 or g1170 or g1440 )
g263    ( g72 )
g264    ( g21 or g24 or g78 or g121 or g130 or g181 or g225 or g269 or g274 or g285 or g317 or g318 or g402 or g418 or g421 or g536 or g577 or g619 or g622 or g678 or g727 or g813 or g894 or g1014 or g1035 or g1078 or g1081 or g1120 or g1165 or g1283 or g1437 or g1470 or g1475 or g1490 or g1499 )
g265    ( g950 or g1292 or g1413 )
g266    ( g191 or g1156 )
g267    ( g88 or g662 or g777 or g1036 or g1406 )
g268    ( g28 or g128 or g285 or g423 or g690 or g912 or g991 or g1033 or g1044 or g1350 or g1396 )
g269    ( g177 or g292 or g309 or g350 or g584 or g593 or g595 or g735 or g761 or g960 or g1065 or g1087 or g1108 or g1114 or g1181 or g1238 )
g270    ( g339 or g597 or g790 or g1234 or g1341 )
g271    ( g41 or g74 or g828 or g876 or g1046 or g1371 )
g272    ( g51 or g292 or g415 or g448 or g532 or g538 or g592 or g732 or g733 or g829 or g835 or g1092 or g1104 or g1120 or g1239 or g1253 or g1338 or g1356 or g1419 or g1479 )
g273    ( g496 or g753 or g961 or g1007 or g1175 or g1280 or g1477 )
g274    ( g1282 or g1359 or g1474 )
g275    ( g74 or g138 or g201 or g289 or g314 or g317 or g397 or g494 or g555 or g640 or g696 or g698 or g715 or g811 or g839 or g916 or g961 or g1046 or g1125 or g1134 or g1207 or g1275 or g1304 or g1315 or g1363 or g1382 or g1402 or g1436 or g1447 or g1456 or g1474 or g1492 )
g276    ( g37 or g109 or g196 or g465 or g794 or g883 or g1468 )
g277    ( g35 or g162 or g179 or g854 or g890 or g1110 or g1113 or g1241 or g1336 or g1450 or g1461 or g1485 )
g278    ( g375 or g464 or g528 or g851 or g989 or g1162 or g1341 )
g279    ( g93 or g155 or g642 or g1414 )
g280    ( g46 )
g281    ( g1177 or g1434 )
g282    ( g1029 or g1080 or g1180 )
g283    ( g59 or g68 or g74 or g81 or g121 or g149 or g206 or g439 or g490 or g603 or g669 or g729 or g759 or g797 or g803 or g884 or g1056 or g1071 or g1081 or g1186 or g1194 or g1218 or g1290 or g1310 or g1325 or g1328 or g1360 or g1418 or g1426 or g1437 or g1454 or g1499 )
g284    
g285    ( g524 or g1169 or g1231 or g1233 or g1475 )
g286    ( g1 or g3 or g39 or g40 or g42 or g51 or g58 or g64 or g108 or g111 or g120 or g125 or g132 or g134 or g148 or g162 or g175 or g182 or g192 or g202 or g212 or g217 or g219 or g236 or g240 or g265 or g285 or g289 or g293 or g303 or g310 or g313 or g320 or g321 or g323 or g336 or g352 or g370 or g375 or g384 or g388 or g391 or g403 or g410 or g414 or g421 or g429 or g441 or g442 or g443 or g445 or g450 or g452 or g464 or g476 or g481 or g482 or g486 or g487 or g488 or g495 or g497 or g500 or g508 or g510 or g517 or g534 or g557 or g558 or g563 or g573 or g591 or g594 or g604 or g625 or g631 or g641 or g655 or g658 or g703 or g705 or g706 or g713 or g716 or g722 or g724 or g736 or g741 or g754 or g759 or g761 or g764 or g765 or g771 or g779 or g790 or g834 or g835 or g839 or g842 or g851 or g876 or g888 or g889 or g893 or g902 or g908 or g911 or g913 or g916 or g919 or g928 or g932 or g943 or g947 or g966 or g974 or g975 or g979 or g1001 or g1009 or g1029 or g1034 or g1035 or g1037 or g1038 or g1048 or g1055 or g1069 or g1072 or g1077 or g1080 or g1102 or g1105 or g1111 or g1119 or g1120 or g1121 or g1125 or g1130 or g1132 or g1142 or g1158 or g1160 or g1162 or g1168 or g1175 or g1182 or g1184 or g1219 or g1222 or g1226 or g1227 or g1234 or g1235 or g1238 or g1246 or g1260 or g1271 or g1274 or g1295 or g1297 or g1302 or g1308 or g1309 or g1312 or g1319 or g1324 or g1328 or g1334 or g1342 or g1345 or g1350 or g1351 or g1352 or g1370 or g1379 or g1393 or g1394 or g1404 or g1410 or g1413 or g1415 or g1419 or g1421 or g1429 or g1435 or g1447 or g1454 or g1457 or g1460 or g1467 or g1468 or g1473 or g1477 or g1487 or g1495 or g1498 )
g287    ( g429 or g735 or g1246 )
g288    ( g345 or g783 or g907 or g1171 or g1352 )
g289    ( g50 or g142 or g146 or g186 or g227 or g308 or g369 or g427 or g456 or g623 or g651 or g677 or g706 or g710 or g717 or g743 or g776 or g813 or g865 or g887 or g960 or g1012 or g1029 or g1060 or g1077 or g1120 or g1139 or g1141 or g1165 or g1234 or g1426 or g1469 or g1472 or g1482 or g1490 or g1493 )
g290    ( g7 or g299 or g335 or g343 or g371 or g379 or g460 or g775 or g788 or g868 or g1311 or g1329 or g1363 or g1365 or g1475 or g1478 )
g291    ( g735 or g873 )
g292    ( g337 or g371 or g967 or g1037 or g1127 or g1173 )
g293    ( g97 or g153 or g183 or g198 or g283 or g346 or g349 or g367 or g450 or g474 or g480 or g515 or g544 or g652 or g705 or g710 or g725 or g772 or g822 or g888 or g951 or g955 or g1019 or g1039 or g1061 or g1093 or g1131 or g1161 or g1214 or g1225 or g1268 or g1279 or g1422 or g1448 or g1484 or g1497 )
g294    ( g793 or g1456 )
g295    ( g261 or g883 or g1020 or g1383 )
g296    ( g171 or g1062 or g1252 or g1450 )
g297    ( g76 or g445 or g692 or g1351 )
g298    ( g48 or g146 or g172 or g175 or g204 or g218 or g238 or g273 or g300 or g340 or g376 or g399 or g466 or g485 or g510 or g532 or g584 or g592 or g609 or g717 or g733 or g737 or g824 or g859 or g878 or g895 or g896 or g943 or g1030 or g1055 or g1056 or g1062 or g1075 or g1078 or g1111 or g1270 or g1308 or g1328 or g1375 or g1416 or g1436 or g1453 or g1454 or g1462 or g1496 or g1498 )
g299    ( g54 or g56 or g216 or g217 or g244 or g268 or g273 or g347 or g364 or g412 or g448 or g490 or g501 or g515 or g516 or g536 or g537 or g548 or g578 or g599 or g610 or g664 or g688 or g701 or g730 or g739 or g802 or g824 or g834 or g875 or g887 or g906 or g928 or g951 or g957 or g1007 or g1018 or g1066 or g1076 or g1115 or g1164 or g1174 or g1180 or g1182 or g1263 or g1265 or g1292 or g1299 or g1325 or g1371 or g1375 or g1394 or g1456 or g1474 or g1478 or g1498 )
g300    ( g399 or g473 or g522 or g629 or g711 or g722 or g876 or g1469 )
g301    ( g61 or g475 or g541 or g737 or g1113 or g1207 or g1301 )
g302    ( g38 or g76 or g648 or g1376 or g1385 or g1449 )
g303    ( g397 or g664 or g665 or g695 or g920 or g1478 )
g304    ( g563 )
g305    ( g135 or g179 or g450 or g636 or g797 or g923 or g1127 or g1268 or g1388 or g1436 )
g306    ( g148 or g244 or g418 or g722 or g1247 or g1249 or g1477 )
g307    ( g2 or g58 or g71 or g73 or g110 or g113 or g150 or g221 or g317 or g380 or g483 or g535 or g598 or g606 or g721 or g746 or g770 or g771 or g912 or g995 or g1028 or g1078 or g1084 or g1094 or g1163 or g1202 or g1290 or g1356 or g1364 or g1421 or g1433 or g1482 )
g308    ( g97 or g122 or g386 or g1360 or g1369 or g1384 )
g309    ( g67 or g180 or g1256 )
g310    ( g419 or g1005 )
g311    ( g22 or g439 or g1060 or g1232 or g1417 or g1496 )
g312    ( g227 or g867 or g1001 )
g313    ( g328 or g430 or g668 or g774 or g1022 or g1410 )
g314    ( g228 or g311 or g367 or g852 or g917 or g1308 or g1311 or g1401 or g1491 )
g315    ( g81 or g155 or g420 or g1063 or g1299 or g1455 )
g316    ( g80 or g144 or g187 or g371 or g1085 or g1091 or g1481 )
g317    ( g391 or g494 or g609 or g746 or g1322 or g1363 or g1493 )
g318    ( g99 or g127 or g137 or g146 or g247 or g464 )
g319    ( g112 or g217 or g648 or g741 or g851 or g954 or g1234 or g1292 or g1352 )
g320    ( g5 or g230 or g796 or g946 )
g321    ( g778 or g1419 or g1478 )
g322    ( g615 or g892 )
g323    ( g1112 or g1294 or g1450 )
g324    ( g28 or g449 or g678 )
g325    ( g69 )
g326    ( g62 or g435 or g815 or g934 or g1104 or g1209 or g1489 or g1490 )
g327    ( g97 or g162 or g164 or g198 or g329 or g378 or g401 or g468 or g555 or g588 or g731 or g736 or g889 or g969 or g992 or g1216 or g1241 or g1255 or g1269 or g1302 or g1326 or g1355 or g1374 or g1486 or g1497 )
g328    ( g52 or g70 or g89 or g103 or g117 or g118 or g122 or g186 or g217 or g245 or g250 or g278 or g281 or g282 or g290 or g318 or g326 or g365 or g392 or g403 or g419 or g437 or g463 or g474 or g475 or g484 or g535 or g570 or g634 or g635 or g662 or g680 or g716 or g743 or g766 or g865 or g886 or g906 or g941 or g947 or g976 or g989 or g992 or g1065 or g1066 or g1098 or g1120 or g1137 or g1162 or g1198 or g1225 or g1301 or g1327 or g1329 or g1331 or g1343 or g1346 or g1371 or g1372 or g1378 or g1384 or g1403 or g1441 or g1495 )
g329    ( g494 or g720 or g761 or g1194 )
g330    ( g75 or g369 or g644 or g849 or g897 or g1219 )
g331    ( g1 or g6 or g45 or g124 or g129 or g220 or g223 or g291 or g296 or g327 or g360 or g438 or g447 or g457 or g463 or g488 or g542 or g634 or g721 or g755 or g769 or g809 or g889 or g906 or g998 or g1075 or g1080 or g1090 or g1119 or g1130 or g1147 or g1153 or g1238 or g1285 or g1371 or g1391 or g1442 or g1444 or g1452 or g1466 or g1488 )
